kawa/herbata,napoje,piwo,lody,ciasto,zupa,zapiekanka,pizza,spaghetti,kebab,frytki,rollokebs,mean_prep, mean_difficulty, mean_price, dodaj
33,38,47,8,49,3,26,40,40,45,29,48,13.5270935961,4.02216748768,22.7290640394,tanie/proste
6,13,50,11,18,44,52,55,48,35,35,9,15.6542553191,4.26063829787,21.9069148936,tanie/proste
8,12,61,38,43,44,36,55,40,13,51,14,17.3445783133,3.93012048193,20.3156626506,drogie/proste
28,24,34,32,20,17,33,63,56,34,23,40,14.7227722772,4.57920792079,24.1707920792,tanie/proste
52,52,53,7,49,42,14,51,9,40,5,48,13.2819905213,3.74170616114,21.5355450237,tanie/czasochlonne
40,32,30,36,45,35,31,40,32,33,30,38,14.9431279621,4.10426540284,20.7274881517,tanie/proste
18,51,18,50,44,18,15,17,19,41,57,44,13.9974489796,3.89540816327,18.9566326531,drogie/proste
34,58,33,29,33,21,32,34,47,28,40,36,13.2729411765,3.90588235294,19.6941176471,drogie/czasochlonne
44,42,3,38,46,50,46,37,5,36,28,40,14.4939759036,4.04096385542,20.1204819277,drogie/proste
49,43,38,2,31,34,36,4,41,54,38,52,11.5521327014,4.07819905213,18.4170616114,drogie/czasochlonne
24,54,30,20,59,14,54,30,16,29,20,49,13.380952381,3.78947368421,20.8947368421,tanie/czasochlonne
16,31,22,27,57,25,39,28,63,53,29,31,15.5961995249,4.33491686461,21.6983372922,tanie/proste
43,36,56,35,11,38,36,59,50,4,45,8,14.3610451306,3.77672209026,19.3800475059,drogie/proste
37,28,25,35,38,40,36,28,55,40,28,31,14.5914489311,4.26128266033,20.3966745843,drogie/proste
52,42,37,34,37,22,36,37,29,27,33,35,13.2375296912,3.88836104513,19.890736342,drogie/czasochlonne
7,44,45,47,48,38,48,9,37,47,50,5,14.4070588235,3.51764705882,17.0423529412,drogie/proste
27,36,29,27,34,38,30,66,26,25,30,36,15.8391089109,4.13613861386,22.8341584158,tanie/proste
53,28,46,41,7,13,52,40,42,46,14,43,11.2705882353,4.22117647059,22.0211764706,tanie/czasochlonne
64,41,47,54,5,20,54,43,17,43,12,15,10.6891566265,3.58554216867,20.2168674699,drogie/czasochlonne
38,33,34,39,3,42,42,35,29,20,31,30,12.9069148936,3.85638297872,19.4175531915,drogie/czasochlonne
20,21,53,49,47,66,22,47,46,15,19,17,17.0260663507,3.99052132701,20.2227488152,drogie/proste
15,55,41,54,12,24,14,17,57,56,14,66,11.1882352941,4.37882352941,21.7647058824,tanie/czasochlonne
32,30,38,42,33,46,33,37,37,31,37,38,14.633640553,4.16129032258,19.6751152074,drogie/proste
39,30,39,39,37,38,36,38,28,38,33,39,14.1244239631,4.03917050691,20.2096774194,drogie/proste
36,33,43,27,26,28,27,29,43,32,35,31,13.4717948718,4.02307692308,19.5615384615,drogie/czasochlonne
12,34,37,42,40,7,45,35,58,57,12,46,13.7929411765,4.35058823529,23.6094117647,tanie/proste
37,26,39,33,28,34,33,23,30,32,30,25,13.5594594595,3.93513513514,18.7972972973,drogie/proste
44,36,3,27,7,48,49,41,38,36,44,37,13.943902439,4.5512195122,20.7414634146,tanie/proste
27,33,36,39,37,22,32,44,42,31,38,31,14.5048543689,4.09708737864,21.0436893204,tanie/proste
37,28,45,7,40,36,32,8,39,39,28,37,12.8111702128,4.01329787234,18.8404255319,drogie/czasochlonne
66,26,68,26,21,16,32,30,25,28,35,33,11.2463054187,3.53201970443,18.9556650246,drogie/czasochlonne
27,36,41,40,35,50,54,35,40,2,30,32,14.8767772512,3.72511848341,18.9407582938,drogie/proste
44,43,39,44,3,33,35,7,48,35,39,6,11.4627659574,3.56117021277,15.829787234,drogie/czasochlonne
37,57,55,46,46,8,38,9,54,43,13,15,11.5510688836,3.41805225653,17.3871733967,drogie/czasochlonne
32,37,43,43,43,51,36,40,40,30,5,4,15.2623762376,3.79207920792,19.896039604,drogie/proste
27,50,56,50,18,23,28,22,52,22,55,22,12.8964705882,3.61647058824,16.9388235294,drogie/czasochlonne
36,2,49,9,33,42,46,29,33,35,40,38,14.3571428571,4.31887755102,20.4387755102,drogie/proste
33,32,36,33,2,30,40,41,41,34,44,40,13.0098522167,4.17733990148,20.8743842365,tanie/czasochlonne
38,38,31,41,46,40,41,2,29,40,33,31,13.4097560976,3.70243902439,17.1926829268,drogie/czasochlonne
23,21,21,60,45,19,21,55,25,56,26,20,16.1964285714,4.35714285714,23.9744897959,tanie/proste
40,50,1,62,50,41,9,39,8,46,41,36,15.6477541371,4.1158392435,20.4822695035,drogie/proste
35,25,31,33,33,31,26,71,25,28,34,32,16.1658415842,4.34900990099,23.2747524752,tanie/proste
8,43,49,43,4,35,4,41,53,48,59,38,13.9694117647,4.30352941176,20.7976470588,tanie/proste
37,39,36,36,37,49,3,30,38,35,36,49,14.6964705882,4.30823529412,19.9929411765,drogie/proste
40,38,34,5,34,40,58,42,50,6,9,43,13.8521303258,4.05764411028,21.1328320802,tanie/proste
